Date,CD_ACAO,Close,Close,Close
,,ABEV3.SA,ASAI3.SA,AXIA3.SA
2025-01-02,ABEV3.SA,10.791955947875977,,
2025-01-03,ABEV3.SA,10.540762901306152,,
2025-01-06,ABEV3.SA,10.503549575805664,,
2025-01-07,ABEV3.SA,10.73613452911377,,
2025-01-08,ABEV3.SA,10.624494552612305,,
2025-01-09,ABEV3.SA,10.605886459350586,,
2025-01-10,ABEV3.SA,10.38260555267334,,
2025-01-13,ABEV3.SA,10.457032203674316,,
2025-01-14,ABEV3.SA,10.429122924804688,,
2025-01-15,ABEV3.SA,10.59658432006836,,
2025-01-16,ABEV3.SA,10.308177947998047,,
2025-01-17,ABEV3.SA,10.31748104095459,,
2025-01-20,ABEV3.SA,10.280267715454102,,
2025-01-21,ABEV3.SA,10.466336250305176,,
2025-01-22,ABEV3.SA,10.252358436584473,,
2025-01-23,ABEV3.SA,10.280267715454102,,
2025-01-24,ABEV3.SA,10.112805366516113,,
2025-01-27,ABEV3.SA,10.345391273498535,,
2025-01-28,ABEV3.SA,10.336088180541992,,
2025-01-29,ABEV3.SA,10.205841064453125,,
2025-01-30,ABEV3.SA,10.336088180541992,,
2025-01-31,ABEV3.SA,10.326784133911133,,
2025-02-03,ABEV3.SA,10.2616605758667,,
2025-02-04,ABEV3.SA,10.140716552734375,,
2025-02-05,ABEV3.SA,10.066288948059082,,
2025-02-06,ABEV3.SA,10.103503227233887,,
2025-02-07,ABEV3.SA,10.094200134277344,,
2025-02-10,ABEV3.SA,10.205841064453125,,
2025-02-11,ABEV3.SA,10.196537017822266,,
2025-02-12,ABEV3.SA,10.159323692321777,,
2025-02-13,ABEV3.SA,10.215143203735352,,
2025-02-14,ABEV3.SA,10.354695320129395,,
2025-02-17,ABEV3.SA,10.326784133911133,,
2025-02-18,ABEV3.SA,10.31748104095459,,
2025-02-19,ABEV3.SA,10.205841064453125,,
2025-02-20,ABEV3.SA,10.270964622497559,,
2025-02-21,ABEV3.SA,10.345391273498535,,
2025-02-24,ABEV3.SA,10.2616605758667,,
2025-02-25,ABEV3.SA,10.31748104095459,,
2025-02-26,ABEV3.SA,10.884989738464355,,
2025-02-27,ABEV3.SA,11.461800575256348,,
2025-02-28,ABEV3.SA,11.368766784667969,,
2025-03-05,ABEV3.SA,11.88975715637207,,
2025-03-06,ABEV3.SA,11.95488166809082,,
2025-03-07,ABEV3.SA,12.187466621398926,,
2025-03-10,ABEV3.SA,12.206073760986328,,
2025-03-11,ABEV3.SA,11.964184761047363,,
2025-03-12,ABEV3.SA,12.122342109680176,,
2025-03-13,ABEV3.SA,12.401445388793945,,
2025-03-14,ABEV3.SA,12.689851760864258,,
2025-03-17,ABEV3.SA,12.74394416809082,,
2025-03-18,ABEV3.SA,12.7251615524292,,
2025-03-19,ABEV3.SA,12.847249031066895,,
2025-03-20,ABEV3.SA,12.77211856842041,,
2025-03-21,ABEV3.SA,12.894205093383789,,
2025-03-24,ABEV3.SA,12.71576976776123,,
2025-03-25,ABEV3.SA,12.77211856842041,,
2025-03-26,ABEV3.SA,12.565510749816895,,
2025-03-27,ABEV3.SA,12.640641212463379,,
2025-03-28,ABEV3.SA,12.612466812133789,,
2025-03-31,ABEV3.SA,12.678205490112305,,
2025-04-01,ABEV3.SA,12.781509399414062,,
2025-04-02,ABEV3.SA,12.837857246398926,,
2025-04-03,ABEV3.SA,13.006900787353516,,
2025-04-04,ABEV3.SA,12.875422477722168,,
2025-04-07,ABEV3.SA,12.377685546875,,
2025-04-08,ABEV3.SA,12.434032440185547,,
2025-04-09,ABEV3.SA,12.837857246398926,,
2025-04-10,ABEV3.SA,12.77211856842041,,
2025-04-11,ABEV3.SA,12.659422874450684,,
2025-04-14,ABEV3.SA,12.847249031066895,,
2025-04-15,ABEV3.SA,12.828465461730957,,
2025-04-16,ABEV3.SA,13.044465065002441,,
2025-04-17,ABEV3.SA,13.1477689743042,,
2025-04-22,ABEV3.SA,13.16655158996582,,
2025-04-23,ABEV3.SA,13.194725036621094,,
2025-04-24,ABEV3.SA,13.288637161254883,,
2025-04-25,ABEV3.SA,13.232290267944336,,
2025-04-28,ABEV3.SA,13.4295072555542,,
2025-04-29,ABEV3.SA,13.626724243164062,,
2025-04-30,ABEV3.SA,13.683070182800293,,
2025-05-02,ABEV3.SA,13.260464668273926,,
2025-05-05,ABEV3.SA,13.204116821289062,,
2025-05-06,ABEV3.SA,13.344985008239746,,
2025-05-07,ABEV3.SA,13.401333808898926,,
2025-05-08,ABEV3.SA,13.495244979858398,,
2025-05-09,ABEV3.SA,13.410724639892578,,
2025-05-12,ABEV3.SA,13.42011547088623,,
2025-05-13,ABEV3.SA,13.382550239562988,,
2025-05-14,ABEV3.SA,13.363767623901367,,
2025-05-15,ABEV3.SA,13.53281021118164,,
2025-05-16,ABEV3.SA,13.63514518737793,,
2025-05-19,ABEV3.SA,13.568817138671875,,
2025-05-20,ABEV3.SA,13.540390968322754,,
2025-05-21,ABEV3.SA,13.41720962524414,,
2025-05-22,ABEV3.SA,13.360358238220215,,
2025-05-23,ABEV3.SA,13.493013381958008,,
2025-05-26,ABEV3.SA,13.511964797973633,,
2025-05-27,ABEV3.SA,13.455111503601074,,
2025-05-28,ABEV3.SA,13.360358238220215,,
2025-05-29,ABEV3.SA,13.322456359863281,,
2025-05-30,ABEV3.SA,13.294029235839844,,
2025-06-02,ABEV3.SA,13.18032455444336,,
2025-06-03,ABEV3.SA,13.275078773498535,,
2025-06-04,ABEV3.SA,13.34140682220459,,
2025-06-05,ABEV3.SA,13.142422676086426,,
2025-06-06,ABEV3.SA,13.34140682220459,,
2025-06-09,ABEV3.SA,13.227701187133789,,
2025-06-10,ABEV3.SA,13.076094627380371,,
2025-06-11,ABEV3.SA,13.18032455444336,,
2025-06-12,ABEV3.SA,13.076094627380371,,
2025-06-13,ABEV3.SA,12.924488067626953,,
2025-06-16,ABEV3.SA,12.962389945983887,,
2025-06-17,ABEV3.SA,12.763405799865723,,
2025-06-18,ABEV3.SA,12.782356262207031,,
2025-06-20,ABEV3.SA,12.820258140563965,,
2025-06-23,ABEV3.SA,12.848684310913086,,
2025-06-24,ABEV3.SA,12.801307678222656,,
2025-06-25,ABEV3.SA,12.460190773010254,,
2025-06-26,ABEV3.SA,12.6212739944458,,
2025-06-27,ABEV3.SA,12.460190773010254,,
2025-06-30,ABEV3.SA,12.6212739944458,,
2025-07-01,ABEV3.SA,12.678126335144043,,
2025-07-02,ABEV3.SA,12.93396282196045,,
2025-07-03,ABEV3.SA,12.772880554199219,,
2025-07-04,ABEV3.SA,12.810783386230469,,
2025-07-07,ABEV3.SA,12.697076797485352,,
2025-07-08,ABEV3.SA,12.678126335144043,,
2025-07-09,ABEV3.SA,12.611799240112305,,
2025-07-10,ABEV3.SA,12.535994529724121,,
2025-07-11,ABEV3.SA,12.630749702453613,,
2025-07-14,ABEV3.SA,12.59284782409668,,
2025-07-15,ABEV3.SA,12.573897361755371,,
2025-07-16,ABEV3.SA,12.962389945983887,,
2025-07-17,ABEV3.SA,12.75393009185791,,
2025-07-18,ABEV3.SA,12.6212739944458,,
2025-07-21,ABEV3.SA,12.716028213500977,,
2025-07-22,ABEV3.SA,12.697076797485352,,
2025-07-23,ABEV3.SA,12.877110481262207,,
2025-07-24,ABEV3.SA,12.791831970214844,,
2025-07-25,ABEV3.SA,12.763405799865723,,
2025-07-28,ABEV3.SA,12.374913215637207,,
2025-07-29,ABEV3.SA,12.498092651367188,,
2025-07-30,ABEV3.SA,12.460190773010254,,
2025-07-31,ABEV3.SA,11.806386947631836,,
2025-08-01,ABEV3.SA,11.645304679870605,,
2025-08-04,ABEV3.SA,11.75900936126709,,
2025-08-05,ABEV3.SA,11.711631774902344,,
2025-08-06,ABEV3.SA,11.825337409973145,,
2025-08-07,ABEV3.SA,11.882190704345703,,
2025-08-08,ABEV3.SA,11.721107482910156,,
2025-08-11,ABEV3.SA,11.66425609588623,,
2025-08-12,ABEV3.SA,11.588451385498047,,
2025-08-13,ABEV3.SA,11.484222412109375,,
2025-08-14,ABEV3.SA,11.3894681930542,,
2025-08-15,ABEV3.SA,11.408418655395508,,
2025-08-18,ABEV3.SA,11.436844825744629,,
2025-08-19,ABEV3.SA,11.436844825744629,,
2025-08-20,ABEV3.SA,11.465271949768066,,
2025-08-21,ABEV3.SA,11.427370071411133,,
2025-08-22,ABEV3.SA,11.569500923156738,,
2025-08-25,ABEV3.SA,11.484222412109375,,
2025-08-26,ABEV3.SA,11.541074752807617,,
2025-08-27,ABEV3.SA,11.512648582458496,,
2025-08-28,ABEV3.SA,11.607402801513672,,
2025-08-29,ABEV3.SA,11.702157020568848,,
